iter	Passed	Remaining
0	166	29828
1	286	25524
2	374	22119
3	889	39124
4	1072	37552
5	1759	51018
6	1841	45502
7	1933	41563
8	2037	38720
9	2134	36292
10	2221	34123
11	2395	33535
12	2487	31958
13	2798	33185
14	2877	31654
15	2961	30350
16	3046	29210
17	3128	28155
18	3210	27208
19	3325	26602
20	3420	25896
21	3537	25402
22	3661	24992
23	3739	24307
24	3844	23833
25	3915	23191
26	4015	22755
27	4105	22286
28	4173	21732
29	4313	21569
30	4406	21179
31	4499	20811
32	4630	20627
33	4909	21082
34	5015	20779
35	5114	20457
36	5202	20105
37	5272	19702
38	5346	19331
39	5427	18995
40	5497	18636
41	5901	19391
42	5968	19015
43	6033	18649
44	6100	18300
45	6178	17996
46	6281	17774
47	6374	17530
48	6451	17247
49	6522	16958
50	6596	16685
51	6694	16479
52	6767	16216
53	6845	15973
54	6921	15731
55	6991	15480
56	7060	15235
57	7238	15226
58	7373	15122
59	7488	14976
60	7603	14833
61	7678	14614
62	7753	14399
63	7852	14232
64	7946	14058
65	8021	13856
66	8094	13652
67	8175	13465
68	8264	13295
69	8367	13149
70	8486	13028
71	8576	12864
72	8667	12704
73	8746	12528
74	8839	12374
75	8933	12224
76	9012	12055
77	9089	11885
78	9177	11733
79	9253	11567
80	9331	11405
81	9437	11278
82	9507	11111
83	9577	10945
84	9647	10782
85	9720	10625
86	9790	10465
87	9858	10306
88	9939	10163
89	10012	10012
90	10095	9873
91	10167	9725
92	10246	9585
93	10338	9458
94	10429	9331
95	10516	9201
96	10624	9090
97	10705	8957
98	10803	8838
99	10909	8727
100	10996	8600
101	11096	8485
102	11181	8358
103	11256	8226
104	11329	8092
105	11412	7966
106	11486	7836
107	11575	7716
108	11665	7598
109	11735	7468
110	11805	7338
111	11877	7211
112	11953	7087
113	12022	6960
114	12093	6835
115	12175	6717
116	12249	6595
117	12322	6474
118	12394	6353
119	12471	6235
120	12537	6113
121	12628	6003
122	12709	5889
123	12780	5771
124	12850	5654
125	12938	5545
126	13018	5432
127	13097	5320
128	13204	5220
129	13305	5117
130	13415	5018
131	13494	4907
132	13569	4795
133	13653	4687
134	13737	4579
135	13822	4472
136	13901	4363
137	13971	4252
138	14043	4142
139	14161	4046
140	14278	3949
141	14358	3842
142	14452	3739
143	14545	3636
144	14646	3535
145	14797	3445
146	14869	3338
147	14953	3233
148	15062	3133
149	15173	3034
150	15267	2932
151	15361	2829
152	15432	2723
153	15505	2617
154	15588	2514
155	15657	2408
156	15727	2304
157	15797	2199
158	15865	2095
159	15936	1992
160	16034	1892
161	16104	1789
162	16175	1687
163	16245	1584
164	16312	1482
165	16380	1381
166	16449	1280
167	16520	1180
168	16592	1079
169	16663	980
170	16731	880
171	16800	781
172	16873	682
173	16941	584
174	17032	486
175	17102	388
176	17180	291
177	17249	193
178	17318	96
179	17392	0
