Keuwl Accelerometer Data File
2022-08-22 22-52-29

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.384646,7.778767,5.587839,9.585464,54.341751,92.830872
0.0199969,-0.366700,7.862516,5.387739,9.538415,55.608376,92.670288
0.0400171,-0.081655,7.939086,5.185246,9.482750,56.851677,90.589279
0.0600288,-0.118744,7.869695,5.374579,9.530598,55.672058,90.864456
0.0800271,-0.516252,7.779963,5.670392,9.640938,53.973621,93.796387
0.1000302,-0.594317,7.880462,5.624928,9.700243,54.558254,94.312889
0.1200419,-0.367896,7.942676,5.833403,9.861543,53.734310,92.651985
0.1400506,0.001196,7.965706,6.010471,9.978890,52.963863,89.991394
0.1600578,-0.100798,7.821838,5.902794,9.799708,52.962051,90.738312
0.1800695,-0.197707,7.784750,5.887241,9.762224,52.910381,91.454811
0.2000672,-0.164207,7.712965,5.663213,9.570202,53.718369,91.219635
0.2200854,-0.031107,7.820642,5.644071,9.644632,54.182648,90.227890
0.2400971,0.010768,7.811070,6.112465,9.918426,51.955467,89.921021
0.2601112,0.046660,7.612167,5.947062,9.659959,52.001530,89.648804
0.2801297,0.098106,7.958229,5.485845,9.666309,55.422382,89.293716
0.3001410,0.003589,7.862516,5.306383,9.485614,55.984734,89.973846
0.3201297,0.043071,7.789535,5.151747,9.339123,56.521038,89.683197
0.3401615,0.123230,7.772785,5.035695,9.262268,57.065605,89.091705
0.3601728,0.110070,7.875677,4.944469,9.299794,57.881294,89.199287
0.3801495,-0.022732,7.811070,5.131408,9.345838,56.697578,90.166740
0.4001916,-0.269492,7.745268,5.618946,9.572583,54.056782,91.992767
0.4202029,-0.044566,7.746464,6.040381,9.823233,52.054787,90.329628
0.4402057,-0.027517,7.791928,6.294320,10.016654,51.068893,90.202339
0.4602149,-0.281456,7.754839,6.260820,9.970688,51.102978,92.078590
0.4802262,-0.129512,7.709375,6.300302,9.957161,50.747375,90.962433
0.5002513,-0.042173,7.753643,6.218946,9.939619,51.268440,90.311638
0.5202437,-0.122333,7.732107,6.008079,9.792725,52.155197,90.906425
0.5402550,-0.062512,7.783553,6.089435,9.882753,51.963173,90.460152
0.5602676,-0.085244,7.638488,5.992525,9.708972,51.886940,90.639381
0.5802734,-0.123529,7.615756,6.032007,9.715971,51.622925,90.929268
0.6002847,-0.179761,7.639685,6.141179,9.803631,51.213600,91.347916
0.6203022,-0.130708,7.660024,6.088238,9.785688,51.526150,90.977577
0.6403009,-0.052941,7.649256,6.293124,9.905419,50.556183,90.396545
0.6603122,0.013161,7.625328,6.052346,9.735332,51.560440,89.901115
0.6803247,0.136391,7.669595,5.656034,9.530583,53.596966,88.981201
0.7003311,0.276670,7.878069,5.197211,9.442008,56.603146,87.988655
0.7203425,0.154337,7.955836,5.205585,9.508800,56.807800,88.888649
0.7403586,0.488435,7.952247,4.809274,9.306231,58.883492,86.485252
0.7603655,0.627518,7.599007,4.912166,9.070173,57.209179,85.279289
0.7803768,0.325723,8.014759,5.309973,9.619681,56.496323,87.672760
0.8004076,0.353240,7.911569,5.817550,9.826576,53.699368,87.443520
0.8204095,0.353240,7.891230,6.276374,10.089061,51.530571,87.436943
0.8404207,0.117248,7.849356,6.277570,10.051568,51.351833,89.144218
0.8604309,0.136391,7.812267,5.800800,9.731361,53.409382,88.999802
