Keuwl Accelerometer Data File
2022-08-21 14-29-35

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.595281,0.607619,9.569375,9.607106,5.079640,134.412399
0.0199136,-0.207210,0.569291,9.715501,9.734371,3.568151,110.000504
0.0398127,-0.398851,0.528567,9.753829,9.776279,3.883730,127.037781
0.0597264,-0.449156,0.456702,9.842463,9.863285,3.723679,134.522720
0.0796796,-0.324590,0.463888,9.945469,9.961572,3.258225,124.981079
0.0995933,-0.492275,0.427956,9.878395,9.899908,3.777920,138.998154
0.1194684,-0.398851,0.511799,9.907141,9.928367,3.747216,127.929703
0.1393821,-0.142532,0.432747,10.046080,10.056406,2.596763,108.230110
0.1592830,-0.401246,0.406397,9.943073,9.959461,3.287297,134.634613
0.1791967,-0.408433,0.442329,9.926305,9.944546,3.470852,132.718399
0.1991128,-0.413224,0.514194,10.038894,10.060544,3.759579,128.786530
0.2190265,-0.705474,0.564499,10.058058,10.098558,5.133166,141.334259
0.2389321,-0.834831,0.624387,10.038894,10.092878,5.928702,143.206451
0.2588457,-0.904301,0.502217,10.034102,10.087279,5.885764,150.953766
0.2788102,-0.794108,0.413583,10.017334,10.057268,5.107566,152.488846
0.2987240,-0.243143,0.413583,9.995774,10.007281,2.747944,120.451019
0.3185874,-0.180860,0.629178,9.859231,9.880941,3.798854,106.037529
0.3385012,-0.595281,0.677088,9.823298,9.864583,5.243777,131.321259
0.3584107,-0.427597,0.660320,9.979006,10.009966,4.507500,122.925484
0.3783245,-0.509044,0.562104,9.964633,9.993447,4.351992,132.164108
0.3982438,-0.794108,0.509403,9.864022,9.909038,5.463429,147.320709
0.4181576,-0.736616,0.586059,9.816112,9.861142,5.477651,141.493896
0.4380915,-0.784526,0.693856,9.792157,9.848008,6.104994,138.509567
0.4580052,-0.928256,0.705834,9.801739,9.870863,6.784662,142.751114
0.4779125,-0.739012,0.701043,9.787366,9.840230,5.941682,136.510315
0.4978263,-0.616841,0.720207,9.756225,9.802199,5.551426,130.579315
0.5178357,-0.770153,0.828004,9.703524,9.769191,6.647001,132.926865
0.5377495,-1.160619,0.873519,9.662800,9.771375,8.549228,143.033722
0.5575624,-1.325909,0.787281,9.698732,9.820553,9.033984,149.299561
0.5774762,-1.081568,0.660320,9.758620,9.840552,7.398708,148.595078
0.5973958,-0.882742,0.703439,9.729874,9.795126,6.617165,141.449387
0.6173096,-0.933047,0.837587,9.708315,9.788948,7.359115,138.086014
0.6372507,-1.043240,0.847169,9.751433,9.843602,7.846779,140.921494
0.6571644,-1.076777,0.859146,9.741852,9.838763,8.048448,141.414093
0.6770509,-1.064800,0.907056,9.701128,9.801451,8.204706,139.573776
0.6969647,-1.124687,0.931011,9.734665,9.843546,8.529794,140.382187
0.7168732,-1.131873,0.904661,9.749038,9.856130,8.453892,141.366074
0.7367870,-1.024076,0.871123,9.713105,9.805713,7.880676,139.614075
0.7567660,-0.933047,0.782490,9.756225,9.831927,7.114636,140.015472
0.7766798,-1.045635,0.708229,9.717896,9.799615,7.404488,145.889435
0.7965366,-1.100732,0.787281,9.681964,9.776086,7.956999,144.426361
0.8164504,-1.105523,0.851960,9.684360,9.784418,8.201020,142.380737
0.8363581,-1.107919,0.863937,9.734665,9.835526,8.212456,142.053467
0.8562719,-0.834831,0.851960,9.808926,9.881184,6.933331,134.418228
0.8762041,-0.882742,0.856750,9.782575,9.859615,7.167218,135.856033
0.8961179,-1.007308,0.847169,9.854440,9.941949,7.607594,139.935394
0.9160250,-1.009703,0.825609,9.947865,10.033003,7.469525,140.727982
0.9359388,-1.155828,0.801654,9.923909,10.023102,8.067427,145.255783
0.9558510,-1.239671,0.808841,9.883186,9.993417,8.517882,146.876999
0.9757648,-1.196552,0.806445,9.967029,10.070936,8.237593,146.021057
0.9957283,-1.170202,0.777699,9.981401,10.079809,8.012733,146.392563
1.0156420,-1.203738,0.775303,9.887977,9.991104,8.239333,147.215240
1.0355213,-1.186970,0.792072,9.835276,9.938256,8.255355,146.284592
1.0554351,-1.170202,0.789676,9.832881,9.933705,8.170198,145.987701
