Keuwl Accelerometer Data File
2022-08-23 20-33-36

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.464806,6.808478,7.035796,9.801726,44.125881,93.905449
0.0201209,-0.561715,6.737889,6.291927,9.235964,47.059219,94.765533
0.0404959,0.049053,6.650551,6.093024,9.019821,47.505848,89.577408
0.0603627,0.484846,6.625427,6.623632,9.381038,45.084270,85.814583
0.0804837,0.125623,6.658926,6.954440,9.629191,43.761536,88.919220
0.1006191,-0.216850,6.681658,7.035796,9.705359,43.536209,91.858849
0.1206984,-0.168993,6.632605,6.983154,9.632468,43.534481,91.459534
0.1408193,-0.054138,6.622735,7.215557,9.794274,42.547947,90.468353
0.1609338,0.016750,6.558129,7.292127,9.807367,41.966526,89.853661
0.1810511,0.076570,6.638587,7.075277,9.702384,43.178051,89.339172
0.2011721,0.145962,6.664908,6.867999,9.571402,44.147087,88.745415
0.2214056,-0.014357,6.645766,6.913762,9.589917,43.867794,90.123779
0.2414688,-0.171386,6.639784,7.099205,9.721873,43.094303,91.478592
0.2615897,-0.233599,6.629016,7.274181,9.844396,42.360851,92.018204
0.2816878,-0.185743,6.636195,7.294520,9.863245,42.305550,91.603256
0.3018115,-0.166600,6.591628,7.240681,9.793098,42.322590,91.447815
0.3219325,-0.213260,6.571289,7.214360,9.760856,42.344219,91.858788
0.3420437,-0.066102,6.655337,7.145866,9.765310,42.965832,90.569054
0.3621641,0.159123,6.678069,7.041778,9.706110,43.489582,88.635033
0.3822851,0.186640,6.567700,6.931708,9.550817,43.466957,88.372215
0.4024002,-0.023928,6.533004,6.981957,9.561822,43.097584,90.209854
0.4225306,-0.106780,6.603592,7.228717,9.791485,42.416111,90.926392
0.4426515,0.080160,6.619146,7.441978,9.960048,41.653061,89.306168
0.4627686,0.099302,6.571289,7.518548,9.986003,41.157036,89.134239
0.4828889,0.078963,6.534201,7.282556,9.784560,41.901802,89.307640
0.5030099,0.198604,6.576075,6.975976,9.588975,43.322815,88.270134
0.5231367,0.240778,6.603592,6.823732,9.498880,44.079750,87.911827
0.5433185,0.001196,6.549754,7.149455,9.696080,42.493397,89.989532
0.5634395,0.068195,6.549754,7.427321,9.902981,41.408875,89.403465
0.5835073,0.223729,6.600003,7.310073,9.851257,42.094116,88.058517
0.6036261,0.098106,6.525826,6.883553,9.485744,43.475098,89.138710
0.6237471,-0.117547,6.506683,6.912566,9.493909,43.272209,91.034973
0.6438600,-0.084048,6.515058,7.093224,9.631556,42.569553,90.739105
0.6639799,0.099302,6.536593,7.147062,9.685939,42.448849,89.129646
0.6841009,0.159123,6.516254,7.329216,9.808378,41.648113,88.601151
0.7042191,0.130409,6.457630,7.373483,9.802360,41.217373,88.843094
0.7243383,-0.021535,6.499505,7.326823,9.794200,41.575867,90.189842
0.7444592,0.078963,6.503094,7.076474,9.611085,42.584301,89.304329
0.7645983,0.028714,6.403791,7.011868,9.496086,42.405083,89.743095
0.7847072,-0.123529,6.385846,7.276574,9.682087,41.275166,91.108208
0.8048282,-0.026321,6.486344,7.479066,9.899989,40.934242,90.232498
0.8249419,0.102891,6.487540,7.151848,9.656485,42.215191,89.091377
0.8450646,0.088534,6.467201,6.676573,9.295653,44.090076,89.215683
0.8651856,-0.117547,6.420541,6.664609,9.254955,43.936226,91.048859
0.8853599,-0.141476,6.442077,7.007082,9.519431,42.601276,91.258080
0.9054710,0.039482,6.503094,7.288538,9.768039,41.741009,89.652153
0.9255919,0.174676,6.529415,7.348358,9.831690,41.632996,88.467575
0.9457014,0.064606,6.530611,7.124331,9.664840,42.511726,89.433205
0.9658077,-0.131904,6.524629,6.991529,9.563976,43.027409,91.158157
0.9859287,-0.088834,6.534201,7.081260,9.635762,42.701778,90.778900
1.0060331,0.035892,6.504290,7.138687,9.657533,42.338108,89.683830
1.0261481,0.066999,6.433702,7.109973,9.588990,42.142990,89.403358
1.0462691,-0.019143,6.361917,7.186843,9.598180,41.515934,90.172401
1.0663980,0.032303,6.436095,7.305287,9.736096,41.381012,89.712433
1.0865068,0.055035,6.428916,7.265806,9.701852,41.504025,89.509529
1.1066277,-0.244367,6.418149,7.190432,9.641299,41.772575,92.180450
1.1267608,-0.273081,6.521040,7.133902,9.669079,42.455170,92.397964
1.1468647,0.070588,6.580861,7.098009,9.679589,42.836533,89.385452
1.1669855,0.104088,6.534201,7.058527,9.619222,42.794590,89.087372
1.1871281,-0.139083,6.604789,7.086045,9.687860,42.993118,91.206352
1.2072946,-0.143868,6.550950,7.162615,9.707663,42.453014,91.258095
1.2274154,0.094516,6.543772,7.339983,9.833882,41.720741,89.172493
1.2474929,0.223729,6.547361,7.311270,9.816957,41.861576,88.042915
1.2675848,0.123230,6.624230,7.267003,9.833867,42.355648,88.934250
1.2877057,0.066999,6.576075,7.126723,9.697392,42.700275,89.416275
1.3078486,0.112463,6.540183,7.004689,9.583961,43.040100,89.014862
1.3279717,-0.001196,6.536593,7.081260,9.636975,42.709591,90.010490
1.3480927,-0.099601,6.481558,7.255038,9.729136,41.780552,90.880386
1.3682145,-0.098405,6.471987,7.302895,9.758512,41.551357,90.871101
1.3883294,0.071785,6.485147,7.374680,9.820804,41.329498,89.365814
1.4084502,0.118445,6.493523,7.313663,9.781080,41.605385,88.955017
1.4285785,-0.177368,6.448059,7.035796,9.545226,42.514950,91.575645
1.4486903,-0.294616,6.488737,6.950850,9.513402,43.060116,92.599686
1.4688110,0.009571,6.481558,6.990332,9.532861,42.837250,89.915390
1.4889396,0.099302,6.427720,7.074081,9.558664,42.262619,89.114906
1.5090511,-0.081655,6.516254,7.165008,9.685328,42.287357,90.717934
1.5291721,-0.122333,6.544968,7.185647,9.720345,42.333469,91.070801
1.5493810,-0.133101,6.488737,7.151848,9.657657,42.222858,91.175117
1.5694494,-0.261117,6.375078,7.223932,9.638205,41.452042,92.345467
1.5895703,-0.204885,6.404988,7.378269,9.772651,40.975368,91.832176
1.6096946,0.100499,6.354440,7.343573,9.711698,40.873390,89.093918
1.6297542,0.294616,6.404988,7.287342,9.706493,41.342903,87.366371
1.6498750,0.151944,6.463612,7.240681,9.707154,41.762520,88.653358
1.6700242,-0.212064,6.450452,7.111170,9.603230,42.226173,91.882965
1.6901478,-0.449252,6.486344,6.890731,9.473999,43.336914,93.962051
1.7102687,-0.243171,6.550950,6.932905,9.541449,43.397118,92.125839
1.7303840,-0.043370,6.524629,7.062117,9.614893,42.735207,90.380844
1.7505213,-0.133101,6.479166,7.177271,9.670084,42.079647,91.176857
1.7706422,-0.184546,6.522236,7.322037,9.807439,41.705017,91.620750
1.7907550,-0.079262,6.553343,7.357930,9.853513,41.691952,90.692955
1.8108752,-0.081655,6.477969,7.141080,9.641876,42.214741,90.722176
1.8309960,-0.167797,6.449255,7.094420,9.589152,42.282375,91.490387
1.8511074,-0.076869,6.482755,7.092027,9.608791,42.432144,90.679352
1.8712357,-0.044566,6.573682,6.930511,9.552343,43.487045,90.388428
1.8913566,-0.054138,6.480362,6.822536,9.409836,43.527576,90.478645
1.9114937,-0.192921,6.505486,7.117152,9.644295,42.441650,91.698616
1.9316369,-0.113958,6.566504,7.367501,9.869753,41.714256,90.994240
1.9517578,0.013161,6.555736,7.197610,9.735679,42.327976,89.884979
1.9718509,0.061017,6.552146,7.033403,9.612654,42.972435,89.466446
1.9919603,-0.124726,6.564111,7.039385,9.625801,43.004185,91.088554
2.0120811,-0.216850,6.549754,7.209575,9.742908,42.270138,91.896255
2.0321949,-0.111565,6.468398,7.272985,9.733906,41.653271,90.988129
2.0523200,-0.057727,6.529415,7.153044,9.685176,42.391449,90.506538
2.0724409,-0.054138,6.505486,7.008278,9.562439,42.870228,90.476799
2.0925620,-0.117547,6.521040,6.964011,9.541239,43.123207,91.032692
2.1126893,-0.189332,6.474380,7.011868,9.545666,42.729919,91.675041
2.1328101,-0.247956,6.498308,7.136294,9.654853,42.341732,92.185181
2.1529319,-0.308076,6.482755,7.217949,9.706689,41.960518,92.720787
2.1730494,-0.348754,6.525826,7.201200,9.724469,42.223961,93.059097
2.1931703,-0.326022,6.450452,7.180861,9.658125,41.969181,92.893410
2.2132900,-0.297009,6.477969,7.258627,9.733446,41.777233,92.625122
2.2334490,-0.116351,6.513862,7.380661,9.844699,41.434807,91.023315
2.2535698,-0.005982,6.529415,7.243074,9.751688,42.033730,90.052490
2.2736325,0.015553,6.522236,7.020243,9.582463,42.894051,89.863373
2.2937505,-0.068495,6.531807,7.084849,9.636612,42.675777,90.600800
2.3138714,-0.200100,6.527022,7.241878,9.751248,42.041363,91.755974
2.3340147,-0.161815,6.580861,7.173682,9.736304,42.540699,91.408546
2.3541422,-0.026321,6.515058,6.964011,9.536463,43.092564,90.231476
2.3742630,0.019143,6.541379,6.869195,9.485559,43.599827,89.832329
2.3943925,-0.085244,6.571289,7.083652,9.662672,42.853546,90.743210
2.4145012,-0.163011,6.582057,7.261020,9.801656,42.200798,91.418694
2.4346220,-0.074477,6.573682,7.280163,9.809159,42.082539,90.649109
2.4547360,0.005982,6.566504,7.166205,9.719748,42.499516,89.947807
2.4748673,0.125623,6.600003,7.098009,9.693171,42.923038,88.909576
2.4949882,-0.098405,6.535397,7.033403,9.601555,42.901295,90.862648
2.5150969,-0.274277,6.523433,7.126723,9.665433,42.494572,92.407578
2.5352988,-0.057727,6.598807,7.215557,9.778131,42.444790,90.501213
2.5554199,0.081356,6.579664,7.178468,9.738018,42.510033,89.291588
2.5755079,0.132802,6.583253,7.118348,9.696790,42.769348,88.844353
2.5956156,-0.078066,6.572485,6.983154,9.590000,43.266773,90.680511
2.6157365,-0.240778,6.585646,6.830910,9.491577,43.971828,92.093857
2.6358292,-0.133101,6.603592,6.999904,9.624126,43.337086,91.154686
2.6559525,0.064606,6.571289,7.167401,9.724076,42.516918,89.436707
2.6760733,0.019143,6.610771,7.077670,9.684837,43.046574,89.834091
2.6961925,0.052642,6.617949,7.046564,9.667165,43.204296,89.544250
2.7163293,-0.020339,6.533004,7.070492,9.626651,42.737499,90.178375
2.7364504,-0.210867,6.626623,6.956833,9.610106,43.621914,91.822609
2.7565527,-0.113958,6.626623,6.834500,9.520268,44.119499,90.985222
2.7766812,0.114855,6.717550,6.930511,9.652495,44.110229,89.020462
2.7968020,0.174676,6.681658,7.155437,9.791595,43.048737,88.502480
2.8169003,-0.043370,6.679265,7.261020,9.865946,42.610928,90.372032
2.8370378,-0.302094,6.662516,7.092027,9.735359,43.240772,92.596146
2.8571587,-0.171386,6.631409,6.863214,9.545086,44.025455,91.480453
