Keuwl Accelerometer Data File
2022-08-23 21-02-42

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-5.976673,-7.488039,1.198804,9.655490,82.867882,231.404449
0.0200146,-5.823233,-7.327720,1.270589,9.445630,82.269363,231.526337
0.0400157,-5.775376,-7.200602,1.514956,9.354075,80.679504,231.267990
0.0600411,-5.837590,-7.241579,1.610968,9.439975,80.174164,231.126984
0.0800422,-5.940781,-7.397112,1.416850,9.592581,81.506180,231.231293
0.1000160,-5.856732,-7.375576,0.897009,9.460711,84.559380,231.547928
0.1200172,-5.955137,-7.389934,0.717249,9.517838,85.678185,231.136581
0.1400490,-6.177670,-7.480861,0.990329,9.752315,84.171677,230.450226
0.1600501,-6.144170,-7.449754,1.373779,9.753817,81.903236,230.485962
0.1800556,-5.904589,-7.370791,1.615754,9.581409,80.291580,231.302505
0.2000568,-5.758627,-7.356434,1.502992,9.462447,80.860573,231.946106
0.2200587,-5.768198,-7.368398,1.129412,9.425549,83.118019,231.945114
0.2400599,-5.892625,-7.411469,1.177269,9.541429,82.912498,231.512894
0.2600358,-6.050850,-7.435397,1.284946,9.672073,82.365623,230.861649
0.2800370,-5.967102,-7.375576,1.225125,9.565896,82.641792,231.025925
0.3000238,-5.837590,-7.296614,1.225125,9.424381,82.530678,231.338760
0.3200249,-5.844769,-7.275078,1.244268,9.414685,82.405434,231.221741
0.3400296,-5.947959,-7.260721,1.308874,9.476784,82.061287,230.675781
0.3600307,-6.000601,-7.260721,1.392922,9.521844,81.588188,230.428070
0.3800571,-6.050850,-7.385148,1.308874,9.636719,82.193871,230.671310
0.4000585,-5.924031,-7.480861,1.057628,9.600833,83.675461,231.624588
0.4200379,-5.784948,-7.464111,1.182054,9.517134,82.865280,232.223068
0.4400393,-5.329713,-7.016354,1.594218,8.954139,79.744232,232.779221
0.4600206,-5.473582,-7.021140,1.840679,9.090907,78.318291,232.060516
0.4800220,-5.571688,-7.097710,1.886442,9.218452,78.191719,231.868164
0.5000305,-5.509474,-7.114460,1.879263,9.192469,78.203568,232.245621
0.5200319,-5.533402,-7.097710,1.618146,9.144093,79.807213,232.059875
0.5400562,-5.600401,-7.076175,1.282553,9.114916,81.911110,231.640335
0.5600576,-5.940781,-7.068996,1.304088,9.325461,81.961311,229.956329
0.5800361,-6.422037,-6.939485,1.491028,9.571946,81.038513,227.217773
0.6000375,-6.671189,-7.071389,1.991726,9.923522,78.421661,226.668045
0.6200308,-6.244968,-7.205387,2.214557,9.788845,76.924622,229.084259
0.6400322,-5.722734,-7.406683,1.939084,9.558698,78.295708,232.308716
0.6600502,-5.751448,-7.610373,1.603789,9.673111,80.456367,232.920273
0.6800516,-6.240182,-7.835597,1.543670,10.135056,81.239189,231.466568
0.7000275,-6.443572,-7.840383,1.263410,10.226799,82.903595,230.585129
0.7200288,-6.460621,-7.775776,1.091127,10.168229,83.839874,230.277985
0.7400187,-6.125028,-7.720442,1.014258,9.907063,84.123924,231.573212
0.7600201,-5.765805,-7.667800,1.150948,9.662523,83.158997,233.058655
0.7800478,-5.389833,-7.670193,1.352244,9.471575,81.791908,234.904343
0.8000492,-5.202894,-7.727621,1.294517,9.405424,82.088974,236.048203
0.8200538,-5.336892,-7.785347,1.227518,9.518448,82.590385,235.569183
0.8400552,-5.461617,-7.811668,1.304088,9.620399,82.209312,235.040237
0.8600513,-5.447261,-7.916953,1.452742,9.719118,81.403633,235.470078
0.8800527,-5.289035,-8.012666,1.232304,9.679632,82.685890,236.571823
0.9000345,-5.289035,-7.871489,0.782154,9.515566,85.285118,236.101929
0.9200354,-5.552545,-7.768598,0.782154,9.580899,85.317345,234.445007
0.9400222,-5.662914,-7.806883,1.127020,9.710107,83.334846,234.043823
